id,nama_perguruan,regency_id,
226,AMIK PAKARTI LUHUR,3671,
227,SEKOLAH TINGGI ILMU SYARIAH NAHDLATUL ULAMA (STISNU) NUSANTARA TANGERANG,3671,
228,SEKOLAH TINGGI AGAMA ISLAM MUSLIM ASIA AFRIKA,3674,
229,SEKOLAH TINGGI TARBIYAH OTTO ISKANDAR DINATA BANTEN,3674,
230,"STAI FATAHILLAH SERPONG, TANGERANG",3674,
231,SEKOLAH TINGGI AGAMA ISLAM NAHDLATUL ULAMA KEPULAUAN RIAU,2172,
232,AKADEMI BAHASA ASING PERMATA HATI TARAKAN,6571,
233,UNIVERSITAS BORNEO TARAKAN,6571,
234,SEKOLAH TINGGI ILMU MARITIM INDONESIA TERNATE,8271,
235,UNIVERSITAS NAHDLATUL ULAMA MALUKU UTARA,8271,
236,AKADEMI ANALIS FARMASI AL-ISLAM,3471,
237,AKADEMI FISIOTERAPI YAB YOGYAKARTA,3471,
238,AKADEMI KETATALAKSANAAN PELAYARAN NIAGA BAHTERA,3471,
239,SEKOLAH TINGGI ILMU EKONOMI MITRA INDONESIA,3471,
240,STISIP KARTIKA BANGSA,3471,
241,INSTITUT AGAMA ISLAM KOTAMOBAGU,7174,
242,SEKOLAH TINGGI ILMU ADMINISTRASI DARUL RACHMAN TUAL,8172,
243,SEKOLAH TINGGI TEOLOGI INJILI INDONESIA PURWOKERTO,3302,
244,SEKOLAH TINGGI TEOLOGI WILLFINGGER KAMPUNG BARU,3174,
245,SEKOLAH TINGGI TEOLOGI KALVARI MALUKU UTARA,8201,
246,SEKOLAH TINGGI TEOLOGI ARTA WACANA KUPANG -> UNIVERSITAS KRISTEN ARTHA WACANA,5371,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
